timestamp,source_ip,destination_ip,protocol,port,action,label
20:22.2,0.0.0.0,255.255.255.255,UDP,68,DROPPED,Attack
20:08.8,10.90.90.90,239.255.255.100,IP,0,DROPPED,Attack
19:57.2,10.90.90.90,255.255.255.255,UNKNOWN,0,DROPPED,Attack
19:56.6,192.168.1.201,203.145.184.32,UDP,45233,ALLOW,Normal
19:38.6,169.254.31.13,169.254.255.255,UNKNOWN,137,DROPPED,Attack
19:18.8,0.0.0.0,255.255.255.255,UDP,68,DROPPED,Attack
18:57.0,10.90.90.90,255.255.255.255,UNKNOWN,0,DROPPED,Attack
18:46.2,192.168.1.201,203.145.184.32,UDP,35037,ALLOW,Normal
18:25.5,169.254.31.13,169.254.255.255,UNKNOWN,137,DROPPED,Attack
18:19.8,169.254.31.13,169.254.255.255,UNKNOWN,137,DROPPED,Attack
18:08.8,10.90.90.90,239.255.255.100,IP,0,DROPPED,Attack
17:56.8,10.90.90.90,255.255.255.255,UNKNOWN,0,DROPPED,Attack
17:40.3,192.168.1.8,8.8.8.8,UDP,58563,ALLOW,Normal
17:24.9,169.254.31.13,169.254.255.255,UNKNOWN,137,DROPPED,Attack
16:56.6,10.90.90.90,255.255.255.255,UNKNOWN,0,DROPPED,Attack
16:41.5,0.0.0.0,192.168.1.70,UNKNOWN,0,UNKNOWN,Normal
16:36.2,192.168.1.35,192.168.1.1,UDP,53419,ALLOW,Normal
16:24.5,169.254.31.13,169.254.255.255,UNKNOWN,137,DROPPED,Attack
16:12.3,192.168.1.35,192.168.1.71,TCP,53966,ALLOW,Normal
16:08.7,10.90.90.90,239.255.255.100,IP,0,DROPPED,Attack
15:56.4,10.90.90.90,255.255.255.255,UNKNOWN,0,DROPPED,Attack
15:34.4,192.168.1.35,192.168.1.1,UDP,64047,ALLOW,Normal
15:15.1,169.254.31.13,169.254.255.255,UNKNOWN,138,DROPPED,Attack
14:56.2,10.90.90.90,255.255.255.255,UNKNOWN,0,DROPPED,Attack
14:44.4,192.168.1.35,192.168.1.71,TCP,53812,ALLOW,Normal
14:33.7,192.168.1.35,192.168.1.1,UDP,57124,ALLOW,Normal
14:08.7,10.90.90.90,239.255.255.100,IP,0,DROPPED,Attack
14:05.1,169.254.31.13,169.254.255.255,UNKNOWN,137,DROPPED,Attack
13:56.0,10.90.90.90,255.255.255.255,UNKNOWN,0,DROPPED,Attack
13:36.2,192.168.1.35,192.168.1.71,TCP,53640,ALLOW,Normal
13:33.6,192.168.1.35,192.168.1.1,UDP,56757,ALLOW,Normal
13:10.3,0.0.0.0,255.255.255.255,UDP,68,DROPPED,Attack
13:07.3,169.254.31.13,169.254.255.255,UNKNOWN,137,DROPPED,Attack
12:55.8,10.90.90.90,255.255.255.255,UNKNOWN,0,DROPPED,Attack
12:32.6,192.168.1.35,192.168.1.71,TCP,53586,ALLOW,Normal
12:32.6,192.168.1.35,192.168.1.1,UDP,60695,ALLOW,Normal
12:07.9,0.0.0.0,255.255.255.255,UDP,68,DROPPED,Attack
12:07.7,169.254.31.13,224.0.0.22,IP,0,DROPPED,Attack
11:55.6,10.90.90.90,255.255.255.255,UNKNOWN,0,DROPPED,Attack
11:50.0,169.254.31.13,169.254.255.255,UNKNOWN,137,DROPPED,Attack
11:31.7,192.168.1.35,192.168.1.71,TCP,53543,ALLOW,Normal
10:29.8,192.168.1.35,192.168.1.71,TCP,53442,ALLOW,Normal
10:16.1,169.254.31.13,169.254.255.255,UNKNOWN,137,DROPPED,Attack
09:24.8,192.168.1.35,192.168.1.71,TCP,53276,ALLOW,Normal
09:02.8,169.254.31.13,169.254.255.255,UNKNOWN,137,DROPPED,Attack
08:23.9,192.168.1.35,192.168.1.71,TCP,0,ALLOW,Normal
08:12.6,192.168.1.35,192.168.1.71,TCP,53045,ALLOW,Normal
07:53.0,169.254.31.13,169.254.255.255,UNKNOWN,137,DROPPED,Attack
06:46.6,169.254.31.13,169.254.255.255,UNKNOWN,137,DROPPED,Attack
